pagina,id_doc,remetente,destinatario,data,tipo_doc,onomastico,memo_resumo
1,CO_0001,Iris Abbott,Candido Portinari,08/11/1940,Telegrama,null,"Convida Portinari para jantar, destacando presença do pintor Tanguy."
2,CO_0002,Júlio Jorge Abeid Filho,Candido Portinari,04/10/1956,Carta,Oswaldo Scatena,"Acusa o recebimento e agradece a doação da tela ""O Operário""."
3,CO_0003,Lívio Abramo,Candido Portinari,26/11/1945,Carta,Marques Rebelo,Solidariza-se com Portinari pela não realização da exposição na Galeria Prestes Maia. lamentando não poder comparecer ao jantar em homenagem a Portinari.
4,CO_0004,Tharcema Cunha de Abreu,Candido Portinari,/  /1946,Carta,null,"Pede que Portinari envie convites (para sua mostra) a dois amigos, relacionados na carta, que admiram seus trabalhos."
5,CO_0005,Aníbal Freire,Júlio Prestes,05/06/1926,Carta,null,"Carta de recomendação ao deputado Júlio Prestes,  com pedido de ajuda para Portinari ir estudar na Europa, motivado pelos prêmios por ele já recebidos."
6,CO_0006,Manoel de Abreu,Candido Portinari,23/08/1950,Bilhete,null,"Lamenta que não tenham se encontrado em Paris, deixando nome de seu hotel e data limite em que lá estará."
7,CO_0007,Stahlembrecher,Candido Portinari,27/08/1928,Bilhete,null,Envia felicitações pelo Prêmio de Viagem.
9,CO_0008,Olegário Mariano,Baptista Portinari,/  /1928,Telegrama,null,Informa que Portinari foi premiado com o Prêmio de Viagem. Envia felicitações.
10,CO_0009,Ronald de Carvalho,Raul Tavares,27/06/1929,Carta,null,"Apresenta o amigo e pintor Candido Portinari, informando que ele ganhou o Premio de Viagem e percorrerá a Europa, em missão de estudo. Pede boa acolhida ao jovem. Informa que Portinari fez seu retrato e que fará o de sua mãe."
13,CO_0010,Rose Marie Cimonier,Candido Portinari,05/02/1930,Carta,null,"Bilhete de uma admiradora, marcando encontro do ""La Rotonde"", em Paris."
15,CO_0011,Antônio Pinto Nogueira Accioly Neto,Candido Portinari,17/05/1959,Carta,Leão Gondim de Oliveira,"Envia transparências dos murais ""Guerra"" e ""Paz"", lamentando o mau estado das mesmas, devido à qualidade do material fotográfico."
16,CO_0012,Chita Lequio,Maria Portinari,01/05/1935,Carta,Carlos Washington Aliseris,"Ex-aluna de Portinari, elogia o mestre e diz sentir saudades da acolhida no Rio. Conta ter estado com Aliseris, em sua passagem por Montevidéu. Comenta sua visita à Quadriennale (di Roma). Ressalta que as obras do artista, que decoram seu apartamento em Roma, são admiradas por todos."
18,CO_0013,Yolanda de Monzer,Candido Portinari,12/01/1931,Carta,Van Dongen,"Mostra-se interessada em saber como foi o reencontro de Portinari com seus amigos, na volta ao Brasil. Diz-se sabedora de uma paixão do artista. Pede notícias, incluindo impressões da Itália. Faz referência à ""amizade"" com Van Dongen. Deseja sucesso e manda lembranças a todos."
22,CO_0014,Barclay Acheson,Candido Portinari,13/01/1942,Telegrama,Nelson Rockefeller,"Lamenta não poder comparecer ao almoço oferecido por Nelson Rockefeller, em homenagem a Portinari, que será seguido de visita aos quatro murais da Fundação Hispânica da Biblioteca do Congresso."
23,CO_0015,Carlos Washington Aliseris,Candido Portinari,09/10/1934,Carta,null,"Lamnta não ter ido à exposição de Portinari, justificando-se. Reafirma sua amizade, deseja  sucesso nas vendas e boas festas ao casal."
25,CO_0016,Hugo Adami,Candido Portinari,/  /19--,Carta,Celso Kelly,"Responde carta de Portinari, reconhecendo a demora. Mostra-se satisfeito em estar fora do país, informando que avisará a data e o vapor em que voltará. Oferece-se para trazer encomenda, estendendo a oferta a Celso Kelly e Olegário Mariano."
27,CO_0017,Gelásio Adamoli,Candido Portinari,16/05/1951,Carta,null,"Convida Portinari a participar da 1ª Biennale Internazionale d'Arte Marinara, enviando regulamento e fichas de inscrição.  Expressa o desejo de todo o Comitê organizador de poder contar com a participação dele."
35,CO_0018,Harriet D. Adams,Candido Portinari,26/02/1941,Carta,null,"Envia publicações sobre a exposição de Portinari, realizada na Universidade de Carolina do Norte; elogia, entusiasticamente, seu trabalho, citando especificamente a obra ""Funeral"", e diz esperar contar sempre com sua presença."
36,CO_0019,Antonio Bento,Candido Portinari,01/12/1934,Carta,Danton Jobim,"Acusa recebimento de carta. Comenta ter sabido que o êxito da mostra está quase certo - artístico e financeiro. Informa ter falado com Garibaldi Dantas, de ""O Estado de S. Paulo"", que mostrou-se interessado em publicar nota sobre ele. Pede que Portinari o procure. Dá notícias dos amigos: Jobim está partindo para Paris, Pedrosa seguiu para São Paulo e não tem visto Murilo Mendes."
38,CO_0020,John B. Adams,Candido Portinari,20/09/1940,Carta,Bror Dahlberg,"Comenta que as obras de Portinari estão deixando Nova York e seguindo para Detroit. Comunica que está enviando cópia de carta escrita a Julius Fleischman, conhecido patrono das artes (onde sugere que o Ballet Russo acrescente, ao seu repertório, um número de balé brasileiro, inspirado nas pinturas de Portinari, com cenários e figurinos criados pelo mesmo artista e com música de Francisco Mignone). Comenta que Vera Pereira já está estudando esta possibilidade, tendo escrito uma sinopse. Informa que Julius, enviou a idéia do ballet em uma carta diretamente a Massine, diretor do Ballet, e que ele, Adams, enviou uma nota, sobre o assunto, a Nelson Rockefeller. Sugere que Portinari estenda sua visita ao país. Comenta que os alunos sentem falta de Portinari, mas estão satisfeitos com seu sucesso."
39,CO_0021,Alonzo J. Aden,Candido Portinari,22/11/1940,Carta,Beatrice A. Rudes,"Agradece o recebimento do catálogo da mostra de Portinari, no MoMA, através de Florence Horn. Mostra-se entusiasmado com a possibilidade de apresentar trabalhos do artista em sua Galeria, em abril de 1941."
40,CO_0022,Alonzo J. Aden,Candido Portinari,25/01/1945,Carta,Eleanor Roosevelt,"O diretor da Barnett Aden Gallery cumprimenta Portinari pela exposição em sua galeria, comunicando que Mrs. Roosevelt ficou muito impressionada com suas obras, especialmente com o quadro ""Negro Bride"", tendo prometido visitar os murais da Biblioteca do Congresso."
43,CO_0023,Siegfried Adler,null,10/03/1954,Carta,Flávio Motta,"Solicita que seja reservada, para aquisição, a tela ""Os Lavradores"", de Portinari"
44,CO_0024,Waldomiro Corrêa Silva,Candido Portinari,13/07/1937,Carta,José Alves,"Trata de um promissor artista, apelidado ""Borrachinha"", protegido de ambos (Waldomiro e Portinari) que está afastando-se da Escola, por saudades da terra natal (Jardinópolis) e de familiares. Pede que Portinari o aconselhe. Desculpa-se por não ter comparecido ao Salão de Maio."
46,CO_0025,Suzane Adrien-Bertrand,Maria Portinari,12/12/1946,Carta,Mário de Andrade,"Cumprimenta Maria, em seu retorno à casa. Comenta leitura de artigo de Mário de Andrade. Diz estar enviando, anexo, um bilhete a Portinari. Envia lembranças a todos."
49,CO_0026,Suzane Adrien-Bertrand,Maria Portinari,08/03/1947,Carta,null,"Informa que fará uma conferência, ""La France au travail"", no Senado, em língua portuguesa. Espera que, na ocasião, o casal já tenha retornado de São Paulo."
50,CO_0027,Ferrucio Agosti,Candido Portinari,10/05/1938,Carta,null,"Agradece a Portinari a doação, à escola, de uma cópia do Auto-Retrato de Leonardo da Vinci."
51,CO_0028,Enrico Bianco,Candido Portinari,17/03/1939,Carta,null,Estima que a família tenha feito boa viagem. Comenta sobre fotografias de obras. Diz estar às ordens para qualquer coisa que Portinari precise. Envia lembranças a todos.
52,CO_0029,Enrico Bianco,Candido Portinari,24/09/1938,Carta,Santa Rosa,"Comenta sobre os afrescos do Ministério da Educação, especialmente ""Mate"", informando que Portinari deve voltar para as provas parciais de 14 de outubro, na Universidade. Manda lembranças a todos, inclusive a Santa Rosa e sra."
54,CO_0030,Eduardo Duarte de Souza Aguiar,Candido Portinari,27/09/1939,Bilhete,null,"Apresenta Portinari a uns alunos da Escola Nacional de Belas Artes, que desejam publicar fotos de obras dele. Pede resposta aos portadores."
55,CO_0031,Jacinto Simões,Candido Portinari,17/03/1941,Carta,null,"Agradece, a Portinari e família, a gentil acolhida com que receberam os sócios da instituição."
56,CO_0032,João Ayres,Candido Portinari,29/12/1958,Carta,null,"Agradece as amabilidades de Portinari, durante sua estadia no Rio de Janeiro. Informa estar enviando recortes de jornais publicados em Lourenço Marques (atual Maputo), Luanda e Lisboa, uma estatueta dos Macondes e votos de Boas Festas."
57,CO_0033,Antônio Aita,Candido Portinari,30/10/1945,Telegrama,null,"Pede informações sobre o transporte das obras, comentando que pode ser necessário adiar-se a viagem."
58,CO_0034,Antônio Aita,Candido Portinari,01/11/1945,Telegrama,null,"Autoriza o envio, por navio, de obras de Portinari. Sugere que o artista siga de trem, informando que conseguirá passagens para retorno por navio."
59,CO_0035,Antônio Aita,Candido Portinari,03/11/1945,Telegrama,null,"Pede que Portinari, apesar das dificuldades de obter passagens de navio, não desista da viagem. Lembra que a Comisión Nacional já anunciou a ida do artista."
60,CO_0036,Antônio Aita,Candido Portinari,/  /1945,Telegrama,null,Pede que Portinari informe a data de sua saída do Rio de Janeiro e se há necessidade de reserva de hotel.
61,CO_0037,Antônio Aita,Candido Portinari,16/10/1945,Carta,null,"Em nome da Comisión Nacional de Bellas Artes, convida Portinari a visitar e realizar uma exposição na Argentina."
62,CO_0038,Antônio Aita,Candido Portinari,16/10/1945,Carta,Augusto Meyer,"Acusa recebimento de carta de Cardim, que está tratando da visita de Portinari à Argentina, com exposição de suas obras. Comenta estar viabilizando também uma outra mostra, de livros brasileiros, objetivando intercâmbio cultural entre os dois países. Diz que o assunto foi, inicialmente, conversado com Augusto Meyer e aceito por Capanema. Quanto à mostra do pintor, informa que os quadros serão transportados por navio, estando sendo providenciadas passagens para o casal Portinari, no mesmo navio. Diz que tentará obter os salões do Museo Nacional de Bellas Artes e que está anexando o carta-convite oficial da Comisión Nacional de Cooperación Intelectual."
63,CO_0039,Rafael Alberti,Candido Portinari,/  /19--,Carta,Duiliu Zamfirescu,"Apresentam o escritor e diplomata romeno Duiliu Zamfirescu, para quem pedem boa acolhida, mostrando-se saudosos."
64,CO_0040,Maria Thereza Alberti,Maria Portinari,08/11/1948,Carta,Eusebio Dworkin,"Pede atenção a sua mãe, que estará de passagem pelo Rio de Janeiro. Envia lembranças ao casal Dworkin."
66,CO_0041,Maria Thereza Alberti,Maria Portinari,03/09/1948,Carta,Eusebio Dworkin,"Apresenta os Dworkin que, na guerra espanhola, fizeram parte da resistência polaca, e vão viver no Rio de Janeiro, precisando de amigos. Informa que são portadores do dinheiro arrecadado com a venda de um quadro na mostra da Hebraica."
68,CO_0042,Maria Thereza Alberti,Maria Portinari,/  /19--,Bilhete,Olga Ugaste,"Apresenta Olga Ugaste e uma amiga, pelas quais envia abraços."
69,CO_0043,Maria Thereza Alberti,Maria Portinari,02/06/1953,Carta,Clara Ramos,"Cumprimenta os Portinari, regozijando-se pela melhora da saúde de Portinari e pelos êxitos alcançados. Cita frase de Portinari, onde alude ao fato de ser ""papa"" em pintura. Convida-os a visitá-los em Buenos Aires. Informa que Rafael Alberti escreveu novo livro e prepara-se para celebrar, com poemas, o tricentenário de Cadiz, sua cidade natal na Espanha. Dá notícias da filha. Comenta sobre tarefas domésticas e elogia reproduções de Cangaceios. Pergunta por Clara Ramos e pelos Dworkin."
71,CO_0044,Maria Thereza Alberti,Maria Portinari,17/02/1948,Carta,null,"Comunica o adiamento da viagem ao Rio de Janeiro, convidando os Portinari a irem a Buenos Aires."
73,CO_0045,Maria Thereza Alberti,Maria Portinari,04/06/1948,Carta,null,"Comenta sobre as dificuldades da vida na Argentina, sobre a próxima ida de Portinari a Praga, sobre o crescimento da filha. Mostra-se meio amendrontada."
