pagina,titulo,conteudo,status,id_doc
1,(CO) Consulta Correspondência\CO_0001,"COD_TIPO: CO
NUM_ANTDOC: 1
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Telegrama
REMETENTE: Iris Abbott
ONOMÁSTICO: null
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Convida Portinari para jantar, destacando presença do pintor Tanguy.
DATA_INICIO: 1940/11/08",sucesso,CO_0001
2,(CO) Consulta Correspondência\CO_0002,"COD_TIPO: CO
NUM_ANTDOC: 2
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Júlio Jorge Abeid Filho
ONOMÁSTICO: Oswaldo Scatena
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Acusa o recebimento e agradece a doação da tela ""O Operário"".
DATA_INICIO: 1956/10/04",sucesso,CO_0002
3,(CO) Consulta Correspondência\CO_0003,"COD_TIPO: CO
NUM_ANTDOC: 3
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Lívio Abramo
ONOMÁSTICO: Marques Rebelo
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Solidariza-se com Portinari pela não realização da exposição na Galeria Prestes Maia. lamentando não poder comparecer ao jantar em homenagem a Portinari.
DATA_INICIO: 1945/11/26",sucesso,CO_0003
4,(CO) Consulta Correspondência\CO_0004,"COD_TIPO: CO
NUM_ANTDOC: 4
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Tharcema Cunha de Abreu
ONOMÁSTICO: null
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Pede que Portinari envie convites (para sua mostra) a dois amigos, relacionados na carta, que admiram seus trabalhos.
DATA_INICIO: 1946/  /",sucesso,CO_0004
5,(CO) Consulta Correspondência\CO_0005,"COD_TIPO: CO
NUM_ANTDOC: 5
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Aníbal Freire
ONOMÁSTICO: null
DESTINATARIO: Júlio Prestes
MEMO_RESUMO: Carta de recomendação ao deputado Júlio Prestes,  com pedido de ajuda para Portinari ir estudar na Europa, motivado pelos prêmios por ele já recebidos.
DATA_INICIO: 1926/06/05",sucesso,CO_0005
6,(CO) Consulta Correspondência\CO_0006,"COD_TIPO: CO
NUM_ANTDOC: 6
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Bilhete
REMETENTE: Manoel de Abreu
ONOMÁSTICO: null
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Lamenta que não tenham se encontrado em Paris, deixando nome de seu hotel e data limite em que lá estará.
DATA_INICIO: 1950/08/23",sucesso,CO_0006
7,(CO) Consulta Correspondência\CO_0007,"COD_TIPO: CO
NUM_ANTDOC: 7
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Bilhete
REMETENTE:  Stahlembrecher
ONOMÁSTICO: null
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Envia felicitações pelo Prêmio de Viagem.
DATA_INICIO: 1928/08/27",sucesso,CO_0007
9,(CO) Consulta Correspondência\CO_0008,"COD_TIPO: CO
NUM_ANTDOC: 8
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Telegrama
REMETENTE: Olegário Mariano
ONOMÁSTICO: null
DESTINATARIO: Baptista Portinari
MEMO_RESUMO: Informa que Portinari foi premiado com o Prêmio de Viagem. Envia felicitações.
DATA_INICIO: 1928/  /",sucesso,CO_0008
10,(CO) Consulta Correspondência\CO_0009,"COD_TIPO: CO
NUM_ANTDOC: 9
PAGINAÇÃO: 3 p.
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Ronald de Carvalho
ONOMÁSTICO: null
DESTINATARIO: Raul Tavares
MEMO_RESUMO: Apresenta o amigo e pintor Candido Portinari, informando que ele ganhou o Premio de Viagem e percorrerá a Europa, em missão de estudo. Pede boa acolhida ao jovem. Informa que Portinari fez seu retrato e que fará o de sua mãe.
DATA_INICIO: 1929/06/27",sucesso,CO_0009
13,(CO) Consulta Correspondência\CO_0010,"COD_TIPO: CO
NUM_ANTDOC: 10
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Rose Marie Cimonier
ONOMÁSTICO: null
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Bilhete de uma admiradora, marcando encontro do ""La Rotonde"", em Paris.
DATA_INICIO: 1930/02/05",sucesso,CO_0010
